Link,Name,Birth Year,Occupation,Country,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/Cabral_Ibacka__PersonFunction__1,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/Television_personality,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/Actor,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/Philanthropist,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/TV_presenter,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Cabral_Ibacka,Cabral,1977,http://dbpedia.org/resource/Tae_Bo,http://dbpedia.org/resource/Romania,
http://dbpedia.org/resource/Caca_Handika,Caca Handika,1957,http://dbpedia.org/resource/Caca_Handika__PersonFunction__1,http://dbpedia.org/resource/Indonesia,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Comedian,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Cacau_Protásio__PersonFunction__1,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Actress,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Comedian,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Cacau_Protásio__PersonFunction__1,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacau_Protásio,Cacau Protásio,1975,http://dbpedia.org/resource/Actress,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacho_Castaña,Cacho Castaña,1942,http://dbpedia.org/resource/Cacho_Castaña__PersonFunction__1,http://dbpedia.org/resource/Argentina,
http://dbpedia.org/resource/Cacho_Fontana,"Jorge ""Cacho"" Fontana",1932,http://dbpedia.org/resource/Cacho_Fontana__PersonFunction__1,http://dbpedia.org/resource/Argentina,
http://dbpedia.org/resource/Cachupoy,Cachupoy,1932,http://dbpedia.org/resource/Comedian,http://dbpedia.org/resource/Philippines,
http://dbpedia.org/resource/Cachupoy,Cachupoy,1932,http://dbpedia.org/resource/Cachupoy__PersonFunction__1,http://dbpedia.org/resource/Philippines,
http://dbpedia.org/resource/Cachupoy,Cachupoy,1932,http://dbpedia.org/resource/Actor,http://dbpedia.org/resource/Philippines,
http://dbpedia.org/resource/Cacilda_Becker,Cacilda Becker,1921,http://dbpedia.org/resource/Cacilda_Becker__PersonFunction__1,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Cacilda_Becker,Cacilda Becker,1921,http://dbpedia.org/resource/Cacilda_Becker__PersonFunction__1,http://dbpedia.org/resource/Brazil,
http://dbpedia.org/resource/Caco_Ciocler,Caco Ciocler,1971,http://dbpedia.org/resource/Caco_Ciocler__PersonFunction__1,http://dbpedia.org/resource/Brazil,
